epoch,train_loss,val_loss,lr,seconds,auroc_wear,precision_wear,recall_wear,npos_wear,mae_deduction,mae_angle
1,0.21603,0.19544,2.00e-04,561.5,0.9112,0.6721,0.7865,5390,111.2500,2.7629
2,0.20154,0.18959,1.87e-04,539.5,0.9162,0.6856,0.7716,5390,106.9610,2.5650
3,0.19472,0.18681,1.57e-04,541.4,0.9191,0.6930,0.7590,5390,105.4688,2.4407
4,0.18942,0.18462,1.17e-04,544.4,0.9215,0.7007,0.7532,5390,104.5649,2.4358
5,0.18420,0.18358,7.41e-05,546.7,0.9227,0.7097,0.7388,5390,104.5126,2.4219
6,0.17899,0.18282,3.57e-05,546.8,0.9240,0.7156,0.7293,5390,103.7299,2.4170
7,0.17312,0.18339,9.36e-06,548.4,0.9241,0.7185,0.7258,5390,103.8171,2.4292
8,0.16939,0.18444,8.01e-10,547.9,0.9236,0.7145,0.7182,5390,103.7943,2.4343
