epoch,train_loss,val_loss,lr,seconds,auroc_wear,precision_wear,recall_wear,npos_wear,mae_deduction
1,0.24995,0.28193,1.87e-04,734.4,0.7668,nan,0.0000,2110,226.0957
2,0.26235,0.25650,1.97e-04,732.5,0.7811,nan,0.0000,2110,218.8528
3,0.25595,0.25081,1.87e-04,691.0,0.8004,nan,0.0000,2110,212.3300
4,0.24085,0.22694,1.69e-04,692.4,0.8456,nan,0.0000,2110,191.1010
5,0.22500,0.22018,1.45e-04,694.4,0.8557,0.6500,0.0123,2110,185.7153
6,0.21753,0.21382,1.17e-04,692.7,0.8656,0.5000,0.0005,2110,182.8579
7,0.21339,0.21080,8.84e-05,693.0,0.8709,0.5614,0.0910,2110,178.7622
8,0.21062,0.20885,6.04e-05,696.0,0.8755,0.5863,0.1175,2110,175.6523
9,0.20779,0.20699,3.57e-05,697.8,0.8796,0.5526,0.1991,2110,172.4399
10,0.20529,0.20586,1.64e-05,698.6,0.8811,0.5705,0.2033,2110,171.6395
11,0.20397,0.20568,4.20e-06,700.2,0.8821,0.5658,0.2161,2110,169.9190
12,0.20293,0.20536,8.00e-10,699.2,0.8825,0.5572,0.2379,2110,170.2104
