epoch,train_loss,val_loss,lr,seconds,auroc_wear,precision_wear,recall_wear,npos_wear,mae_deduction,mae_angle
1,0.22060,0.19705,2.00e-04,556.1,0.9090,0.6663,0.8046,5390,111.2009,2.7739
2,0.20533,0.19114,1.87e-04,531.2,0.9155,0.6771,0.7824,5390,107.6977,2.6880
3,0.19671,0.18785,1.57e-04,534.1,0.9185,0.6820,0.7820,5390,106.1439,2.4769
4,0.19103,0.18601,1.17e-04,534.8,0.9206,0.6877,0.7737,5390,105.2668,2.4408
5,0.18553,0.18450,7.41e-05,535.8,0.9222,0.6958,0.7660,5390,105.0563,2.4288
6,0.17931,0.18398,3.57e-05,535.9,0.9229,0.7040,0.7453,5390,104.4590,2.4148
7,0.17287,0.18455,9.36e-06,537.3,0.9233,0.7064,0.7401,5390,104.6130,2.4128
8,0.16855,0.18602,8.01e-10,536.0,0.9228,0.7047,0.7373,5390,104.6980,2.4143
